"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Rifampicin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Rifampicin|Concentration in container [µmol/l]","Organism|Lumen|Rifampicin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,5.285996,13.58666,0
0,6,10.58382,17.72814,0
0,9,15.02281,21.35162,0
0,12,18.87552,24.66231,0
0,15,22.33606,27.76611,0
0,18,25.53149,30.7246,0
0,21,28.54339,33.57673,0
0,24,31.42426,36.34821,0
0,27,34.20858,39.05572,0
0,30,36.91887,41.71224,0
0,33,34.12021,30.00115,0
0,36,30.89172,27.55826,0
0,39,28.3207,25.64825,0
0,42,26.26287,24.10258,0
0,45,24.59269,22.82512,0
0,48,23.21604,21.75229,0
0,51,22.06425,20.83873,0
0,54,21.0872,20.05088,0
0,57,20.24752,19.36312,0
0,60,19.51693,18.7557,0
0,63,18.87377,18.21327,0
0,66,18.30132,17.72382,0
0,69,17.78674,17.27807,0
0,72,17.31994,16.86865,0
0,75,16.89277,16.48967,0
0,78,16.49868,16.13631,0
0,81,16.13247,15.8048,0
0,84,15.79006,15.49205,0
0,87,15.46815,15.19572,0
0,90,15.16405,14.91372,0
0,93,14.87552,14.64451,0
0,96,14.60071,14.38654,0
0,99,14.33812,14.13893,0
0,102,14.08648,13.90038,0
0,105,13.84477,13.67056,0
0,108,13.61214,13.44859,0
0,111,13.38783,13.23376,0
0,114,13.17105,13.02529,0
0,117,12.96113,12.82283,0
0,120,12.75794,12.62765,0
0,135,11.82581,11.72271,0
0,150,11.00899,10.92506,0
0,165,10.28364,10.21387,0
0,180,9.633327,9.574303,0
0,195,9.045958,8.99527,0
0,210,8.512185,8.468056,0
0,225,8.024529,7.985586,0
0,240,7.577011,7.542161,0
0,255,7.164694,7.133072,0
0,270,6.783491,6.754532,0
0,285,6.429914,6.402945,0
0,300,6.100885,6.075356,0
0,315,5.793632,5.769283,0
0,330,5.506591,5.483382,0
0,345,5.237932,5.215253,0
0,360,4.985545,4.963423,0
0,375,4.748188,4.726308,0
0,390,4.525306,4.503827,0
0,405,4.314871,4.293387,0
0,420,4.116508,4.095226,0
0,435,3.929027,3.907557,0
0,450,3.751884,3.73054,0
0,465,3.584402,3.562889,0
0,480,3.425794,3.404184,0
0,495,3.275619,3.253835,0
0,510,3.133245,3.11131,0
0,525,2.99836,2.976219,0
0,540,2.870374,2.848059,0
0,555,2.748944,2.726443,0
0,570,2.633687,2.611001,0
0,585,2.524241,2.501371,0
0,600,2.420287,2.397237,0
0,615,2.321523,2.298298,0
0,630,2.227668,2.204272,0
0,645,2.138462,2.114902,0
0,660,2.053649,2.029932,0
0,675,1.972996,1.949132,0
0,690,1.896284,1.872278,0
0,705,1.823304,1.799166,0
0,720,1.753862,1.729602,0
0,735,1.687773,1.663397,0
0,750,1.624871,1.600391,0
0,765,1.564989,1.540415,0
0,780,1.507965,1.4833,0
0,795,1.453673,1.428933,0
0,810,1.401959,1.377151,0
0,825,1.35268,1.327799,0
0,840,1.305738,1.280811,0
0,855,1.261007,1.236039,0
0,870,1.21838,1.193373,0
0,885,1.177777,1.152755,0
0,900,1.139058,1.11401,0
0,915,1.102124,1.077047,0
0,930,1.066887,1.041802,0
0,945,1.033286,1.008207,0
0,960,1.001234,0.9761638,0
0,975,0.9706527,0.9455906,0
0,990,0.9414918,0.9164606,0
0,1005,0.9136308,0.8886123,0
0,1020,0.8870078,0.862007,0
0,1035,0.8616222,0.8366784,0
0,1050,0.8374063,0.8125068,0
0,1065,0.8142568,0.7893841,0
0,1080,0.7921105,0.7672838,0
0,1095,0.77095,0.7461844,0
0,1110,0.7507376,0.7260329,0
0,1125,0.7314147,0.7067671,0
0,1140,0.7129291,0.6883479,0
0,1155,0.6952462,0.6707333,0
0,1170,0.6783494,0.6539209,0
0,1185,0.6621697,0.6378036,0
0,1200,0.6466652,0.6223775,0
0,1215,0.6318183,0.6076114,0
0,1230,0.6176233,0.5935179,0
0,1245,0.6040125,0.5799745,0
0,1260,0.5909615,0.5670198,0
0,1275,0.5784485,0.5545965,0
0,1290,0.5664533,0.5426968,0
0,1305,0.5549478,0.5312864,0
0,1320,0.543907,0.5203428,0
0,1335,0.5333091,0.5098439,0
0,1350,0.5231321,0.4997678,0
0,1365,0.5133559,0.4900939,0
0,1380,0.5039617,0.4808034,0
0,1395,0.4949304,0.4718771,0
0,1410,0.4862453,0.4632981,0
0,1425,0.4778894,0.4550495,0
0,1440,0.469847,0.4471153,0
